T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.00 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001216 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001212 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001211 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001220 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001230 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001212 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001223 s
T: 23.70 C, P: 1006.03 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001231 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001213 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001214 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001211 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001146 s | E2E: 0.001146 s | Jitter: 0.001246 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001249 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001221 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001213 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001216 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001135 s | E2E: 0.001135 s | Jitter: 0.001238 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001135 s | E2E: 0.001135 s | Jitter: 0.001245 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001216 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001230 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001219 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001213 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001225 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001224 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001214 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001209 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001212 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001213 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001236 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001214 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.01 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001214 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001214 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001250 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001233 s
T: 23.69 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001237 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001218 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001221 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001215 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001212 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001135 s | E2E: 0.001135 s | Jitter: 0.001222 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001218 s
T: 23.70 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001230 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001215 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001199 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001236 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001225 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001224 s
T: 23.70 C, P: 1006.21 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001223 s
T: 23.70 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001216 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001216 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001212 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001207 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001208 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001214 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001208 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.05 hPa, H: 84.74 % | Exec: 0.001145 s | E2E: 0.001145 s | Jitter: 0.001229 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001238 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001218 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.001211 s
T: 23.71 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.001228 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001204 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.003099 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001222 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001213 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001210 s
T: 23.72 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001135 s | E2E: 0.001135 s | Jitter: 0.001278 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001223 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001213 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001207 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001224 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.003115 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001208 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001208 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001208 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001221 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001208 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001205 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001222 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001218 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001208 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.19 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001207 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001205 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001209 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001218 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001218 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001205 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001210 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001133 s | E2E: 0.001133 s | Jitter: 0.001210 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001231 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001219 s
T: 23.73 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001213 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001205 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001204 s
T: 23.71 C, P: 1006.23 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001204 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001205 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.003089 s
T: 23.72 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001217 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001217 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001217 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001212 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001208 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001205 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001122 s | E2E: 0.001122 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001204 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.002079 s
T: 23.71 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001207 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001210 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001207 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001217 s
T: 23.72 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001216 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001209 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001205 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001221 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001212 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001206 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001206 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001209 s
T: 23.72 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001209 s
T: 23.73 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001206 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001208 s
T: 23.72 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001205 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001213 s
T: 23.72 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001220 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001204 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001207 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001204 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001205 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001219 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001213 s
T: 23.72 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.003092 s
T: 23.72 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001216 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.002309 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001135 s | E2E: 0.001135 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001217 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001154 s | E2E: 0.001154 s | Jitter: 0.001233 s
T: 23.71 C, P: 1006.05 hPa, H: 84.74 % | Exec: 0.001147 s | E2E: 0.001147 s | Jitter: 0.001247 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001155 s | E2E: 0.001155 s | Jitter: 0.004122 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001239 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001226 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001213 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001145 s | E2E: 0.001145 s | Jitter: 0.001222 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001153 s | E2E: 0.001153 s | Jitter: 0.001230 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001241 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001227 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001230 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001225 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001217 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001224 s
T: 23.70 C, P: 1005.99 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.001220 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001227 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001158 s | E2E: 0.001158 s | Jitter: 0.001224 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001244 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001225 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001145 s | E2E: 0.001145 s | Jitter: 0.001217 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001228 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001148 s | E2E: 0.001148 s | Jitter: 0.001217 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001146 s | E2E: 0.001146 s | Jitter: 0.001233 s
T: 23.69 C, P: 1006.05 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001229 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001225 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001145 s | E2E: 0.001145 s | Jitter: 0.001212 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.001228 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.001225 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001220 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001227 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.003144 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001235 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.001237 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001225 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001156 s | E2E: 0.001156 s | Jitter: 0.001225 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001143 s | E2E: 0.001143 s | Jitter: 0.001254 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001144 s | E2E: 0.001144 s | Jitter: 0.001282 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001145 s | E2E: 0.001145 s | Jitter: 0.001184 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001147 s | E2E: 0.001147 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001244 s
T: 23.70 C, P: 1006.03 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001221 s
T: 23.71 C, P: 1006.06 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001216 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001148 s | E2E: 0.001148 s | Jitter: 0.001224 s
T: 23.70 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001231 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001144 s | E2E: 0.001144 s | Jitter: 0.001223 s
